speciesID,parentID,t1,p1,seedPerTick,t2,p2,adultPerTick,ns,CNDD,HNDD
691,-1,9,0.5796369000661774,0.9412045170710777,56,0.42764408546770183,0.9849454696580683,5,0.15,0.006
692,-1,9,0.5635155249002112,0.9382592964005854,56,0.46511103156819517,0.9864237301641471,5,0.15,0.006
693,-1,9,0.6615889907781874,0.9551363275758215,56,0.27069502795193084,0.9769351129324887,5,0.15,0.006
694,-1,9,0.666311014673113,0.9558914008433469,56,0.6150402695183615,0.9913577831165001,5,0.15,0.006
695,-1,9,0.5335434801204878,0.9325787928826444,56,0.5562980650245113,0.9895823040323118,5,0.15,0.006
696,-1,9,0.4899376338843421,0.9237856252814629,56,0.5353038178969044,0.9889027338565904,5,0.15,0.006
697,-1,9,0.7116383348941475,0.9629070590874925,56,0.5090158478232606,0.988013910104321,5,0.15,0.006
698,-1,9,0.6582874897635032,0.9546055516675684,56,0.677976706812319,0.9930839845599411,5,0.15,0.006
699,-1,9,0.40432679932281557,0.9042814337384664,56,0.6409836389610328,0.9920894659317959,5,0.15,0.006
700,-1,9,0.8553414530663745,0.9827882300095312,56,0.5954167365992965,0.9907839144146144,5,0.15,0.006
701,-1,9,0.6771391932283666,0.9576050751272743,56,0.49007739402650924,0.987345183603085,5,0.15,0.006
702,-1,9,0.6367906291464894,0.9510905170886244,56,0.7254488892016336,0.9942848820244656,5,0.15,0.006
703,-1,9,0.5830521057590596,0.9418190820197192,56,0.44122287494454776,0.9854954137042627,5,0.15,0.006
704,-1,9,0.6345686288326124,0.9507211984110968,56,0.4987564529870754,0.9876547398127411,5,0.15,0.006
705,-1,9,0.49264290071450617,0.9243509976752937,56,0.7082773129670836,0.9938596513092051,5,0.15,0.006
706,-1,9,0.40062333667392286,0.9033573503596063,56,0.6862312183860148,0.9932986148370433,5,0.15,0.006
707,-1,9,0.49320220893217254,0.9244675428609818,56,0.5622721736925468,0.9897710811267134,5,0.15,0.006
708,-1,9,0.4789366095483944,0.9214575594901526,56,0.44699333500713123,0.985724102462507,5,0.15,0.006
709,-1,9,0.6903894757741715,0.9596692375477199,56,0.5004588096285594,0.9877148367368043,5,0.15,0.006
710,-1,9,0.417963005236862,0.9076203082910981,56,0.5319851741615689,0.9887929214438308,5,0.15,0.006
711,-1,9,0.5449482317037867,0.9347729545838664,56,0.6978195476532333,0.9935956895525815,5,0.15,0.006
712,-1,9,0.5458024798272538,0.934935655513627,56,0.5277480137401277,0.9886517337009509,5,0.15,0.006
713,-1,9,0.6757146224025123,0.9573810191940373,56,0.6320356729904909,0.9918404456156499,5,0.15,0.006
714,-1,9,0.4932432868709317,0.9244760977959599,56,0.6000685422031146,0.9909216133586882,5,0.15,0.006
715,-1,9,0.5191796090999853,0.9297552197901199,56,0.5138957312116691,0.9881822614799979,5,0.15,0.006
716,-1,9,0.5598813574418758,0.9375850362343444,56,0.6582005167550729,0.9925591487754392,5,0.15,0.006
717,-1,9,0.7771169841689581,0.9723706067035811,56,0.48282798880565675,0.9870824636838587,5,0.15,0.006
718,-1,9,0.565991067660548,0.9387163829956625,56,0.681368967798698,0.9931724976596353,5,0.15,0.006
719,-1,9,0.6954030715402639,0.9604410941795658,56,0.4993059360577127,0.987674159760668,5,0.15,0.006
720,-1,9,0.6624734772115404,0.9552781248394476,56,0.7211581308886836,0.9941795611248696,5,0.15,0.006
721,-1,9,0.7669140695150961,0.9709437675438278,56,0.5855405513867755,0.990488030592784,5,0.15,0.006
722,-1,9,0.570544831665128,0.9395525729159755,56,0.6582589816521757,0.9925607230714589,5,0.15,0.006
723,-1,9,0.5917080656258754,0.943362503223216,56,0.5545610473737315,0.9895270419346295,5,0.15,0.006
724,-1,9,0.5218038633493618,0.9302762234329489,56,0.5554469193926611,0.9895552465905413,5,0.15,0.006
725,-1,9,0.6306569611649926,0.9500682380011831,56,0.6031803944287376,0.9910131438457885,5,0.15,0.006
726,-1,9,0.6314449038831699,0.9502000553905323,56,0.6975248939196474,0.9935881961242502,5,0.15,0.006
727,-1,9,0.7404834576727287,0.9671675275797463,56,0.5035081679958837,0.9878219855772151,5,0.15,0.006
728,-1,9,0.8524914844059728,0.9824238437335984,56,0.7565100890507912,0.995029547190433,5,0.15,0.006
729,-1,9,0.5670560313652957,0.9389124724379493,56,0.809647030991277,0.9962364412481625,5,0.15,0.006
730,-1,9,0.3443394309252688,0.8882885910016853,56,0.40908058537533737,0.98416522529095,5,0.15,0.006
731,-1,9,0.5042096028182576,0.9267376139459694,56,0.47666146059045605,0.9868559199458544,5,0.15,0.006
732,-1,9,0.7178340703484811,0.9638349583612349,56,0.588667359108037,0.9905822345296176,5,0.15,0.006
733,-1,9,0.7318061191097764,0.9659016166458053,56,0.6276704580474581,0.9917177030950947,5,0.15,0.006
734,-1,9,0.6989347978402848,0.9609818489965832,56,0.8727939064117624,0.9975733806883905,5,0.15,0.006
735,-1,9,0.46593598654545626,0.9186442512111163,56,0.6732665040006716,0.9929603588624388,5,0.15,0.006
736,-1,9,0.6655866613012361,0.955775882895393,56,0.5314457681582259,0.9887750092036532,5,0.15,0.006
737,-1,9,0.5777840603769454,0.9408697512460558,56,0.3541488272988818,0.9816343487952187,5,0.15,0.006
738,-1,9,0.7621794398907022,0.9702759074224754,56,0.6325236211985914,0.9918541141304201,5,0.15,0.006
739,-1,9,0.8599336155159524,0.9833731024180656,56,0.5809965751024183,0.9903502459930044,5,0.15,0.006
740,-1,9,0.5627909436945053,0.9381251713602013,56,0.7619569452768281,0.9951570289859611,5,0.15,0.006
741,-1,9,0.5776961841687879,0.9408538503313588,56,0.7450656134105919,0.9947587301955343,5,0.15,0.006
742,-1,9,0.4833017180879901,0.9223869476217648,56,0.6927227225831841,0.9934656304599527,5,0.15,0.006
743,-1,9,0.5008505770703144,0.9260495862900155,56,0.353596188187187,0.9816069740209765,5,0.15,0.006
744,-1,9,0.7201425201758984,0.9641788618848164,56,0.7374944754341224,0.9945773153783998,5,0.15,0.006
745,-1,9,0.5760254099317297,0.9405511193798951,56,0.8254736182793788,0.9965808946660674,5,0.15,0.006
746,-1,9,0.679711802526781,0.9580086346673695,56,0.6580951542779977,0.9925563113120615,5,0.15,0.006
747,-1,9,0.5648604112426863,0.9385078384361133,56,0.5966399763721426,0.9908202258738436,5,0.15,0.006
748,-1,9,0.7633992736070605,0.9704483273363855,56,0.37073304485441705,0.9824368999522438,5,0.15,0.006
749,-1,9,0.46665267510744524,0.9188011473875151,56,0.43593414599754665,0.9852832216851606,5,0.15,0.006
750,-1,9,0.5016152073082234,0.9262065649182147,56,0.7915282536479704,0.9958338862881236,5,0.15,0.006
751,-1,9,0.6890098225683652,0.9594559620935895,56,0.684331734619263,0.9932494507559448,5,0.15,0.006
752,-1,9,0.8426939984030912,0.9811628591523293,56,0.4514234871788654,0.985897714516831,5,0.15,0.006
753,-1,9,0.6239811870051781,0.9489455145448993,56,0.6539807015128491,0.992445156731201,5,0.15,0.006
754,-1,9,0.3985892644417416,0.9028465758128792,56,0.5085795440782392,0.9879987809191539,5,0.15,0.006
755,-1,9,0.7338257507072273,0.966197441328557,56,0.6049189351566228,0.9910640787002155,5,0.15,0.006
756,-1,9,0.6593531157626632,0.9547771284031888,56,0.5721570247316657,0.9900791501507946,5,0.15,0.006
757,-1,9,0.683438214519688,0.9585907876508472,56,0.6328663606343868,0.9918637088340547,5,0.15,0.006
758,-1,9,0.7199131098541274,0.9641447291494808,56,0.8543221430152812,0.9971923962179559,5,0.15,0.006
759,-1,9,0.6443326028339537,0.9523355836577257,56,0.6403763432595279,0.9920726733213054,5,0.15,0.006
760,-1,9,0.734175856939709,0.9662486493736705,56,0.4150065197651552,0.9844180135853773,5,0.15,0.006
